latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
43.22163,46.09943,334.39,0.36,0.58,2022-06-01,858,N20,VIIRS,n,2.0NRT,297.6,2.94,D
45.35127,44.70214,339.05,0.37,0.58,2022-06-01,858,N20,VIIRS,n,2.0NRT,312.83,1.89,D
43.85267,43.92995,331.33,0.6,0.53,2022-06-01,1038,N20,VIIRS,l,2.0NRT,305.53,2.64,D
43.8694,43.43611,337.88,0.57,0.52,2022-06-01,1038,N20,VIIRS,n,2.0NRT,297.25,4.46,D
44.91045,45.2876,336.58,0.36,0.57,2022-06-01,1038,N20,VIIRS,l,2.0NRT,310.61,1.09,D
45.01017,45.12717,300.61,0.39,0.36,2022-06-01,2254,N20,VIIRS,n,2.0NRT,277.87,0.39,N
39.58649,43.90198,297.63,0.39,0.36,2022-06-01,2257,N20,VIIRS,n,2.0NRT,282.24,0.63,N
41.54726,45.03743,313.84,0.38,0.36,2022-06-01,2257,N20,VIIRS,n,2.0NRT,288.59,0.83,N
42.12377,43.01407,303.34,0.41,0.37,2022-06-01,2257,N20,VIIRS,n,2.0NRT,285.57,0.76,N
43.07608,44.23022,305.05,0.39,0.36,2022-06-01,2257,N20,VIIRS,n,2.0NRT,285.22,0.64,N
43.07677,44.22544,298.27,0.39,0.36,2022-06-01,2257,N20,VIIRS,n,2.0NRT,285.05,0.64,N
43.21104,45.84611,306.98,0.38,0.36,2022-06-01,2257,N20,VIIRS,n,2.0NRT,287.98,0.69,N
44.41991,43.56457,330.37,0.72,0.76,2022-06-02,839,N20,VIIRS,n,2.0NRT,293.02,6.66,D
39.97876,44.29315,335.95,0.5,0.41,2022-06-02,1017,N20,VIIRS,n,2.0NRT,303.79,4.4,D
41.1347,45.55439,339.74,0.39,0.44,2022-06-02,1017,N20,VIIRS,l,2.0NRT,310.05,5.62,D
42.12305,43.0121,301.05,0.41,0.45,2022-06-02,2235,N20,VIIRS,n,2.0NRT,290.76,1.1,N
42.12482,43.01089,302.99,0.41,0.45,2022-06-02,2235,N20,VIIRS,n,2.0NRT,290.81,0.51,N
43.07601,45.75954,303.63,0.48,0.4,2022-06-02,2235,N20,VIIRS,n,2.0NRT,288.98,0.9,N
43.07631,44.24692,306.78,0.55,0.43,2022-06-02,2235,N20,VIIRS,n,2.0NRT,286.47,1.34,N
43.07661,44.24736,306.97,0.55,0.43,2022-06-02,2235,N20,VIIRS,n,2.0NRT,286.52,1.28,N
43.13379,45.58364,328.52,0.49,0.4,2022-06-02,2235,N20,VIIRS,n,2.0NRT,288.67,5.29,N
43.21152,45.84248,301.46,0.48,0.4,2022-06-02,2235,N20,VIIRS,n,2.0NRT,286.56,0.35,N
43.31164,46.06879,300.89,0.47,0.4,2022-06-02,2235,N20,VIIRS,n,2.0NRT,286.5,0.59,N
43.3437,45.5997,297.42,0.49,0.4,2022-06-02,2235,N20,VIIRS,n,2.0NRT,287.16,0.46,N
43.4332,45.45805,309.17,0.49,0.41,2022-06-02,2235,N20,VIIRS,n,2.0NRT,287.46,1.05,N
43.43387,45.45195,316.86,0.5,0.41,2022-06-02,2235,N20,VIIRS,n,2.0NRT,288.17,2.41,N
44.07574,43.42958,312.68,0.41,0.45,2022-06-02,2235,N20,VIIRS,n,2.0NRT,286.23,1.57,N
44.67301,44.72579,296.79,0.55,0.42,2022-06-02,2235,N20,VIIRS,n,2.0NRT,285.23,0.69,N
44.82685,44.11416,325.64,0.39,0.44,2022-06-02,2235,N20,VIIRS,n,2.0NRT,286.67,1.77,N
44.91479,45.28418,309.33,0.52,0.42,2022-06-02,2235,N20,VIIRS,n,2.0NRT,286.36,0.86,N
45.00929,45.12654,298.64,0.53,0.42,2022-06-02,2235,N20,VIIRS,n,2.0NRT,286.66,0.69,N
44.76197,45.20746,298.15,0.71,0.75,2022-06-03,16,N20,VIIRS,n,2.0NRT,284.78,0.75,N
44.76639,45.21294,296.71,0.71,0.75,2022-06-03,16,N20,VIIRS,n,2.0NRT,284.21,0.81,N
44.82664,44.11954,317.58,0.63,0.72,2022-06-03,16,N20,VIIRS,n,2.0NRT,284.51,2.51,N
44.91331,45.28861,314.82,0.7,0.75,2022-06-03,16,N20,VIIRS,n,2.0NRT,284.26,2.21,N
45.00853,45.1272,299.18,0.69,0.74,2022-06-03,16,N20,VIIRS,n,2.0NRT,283.92,1,N
45.01129,45.12688,295.33,0.69,0.74,2022-06-03,16,N20,VIIRS,n,2.0NRT,283,0.68,N
44.76445,45.20659,298.63,0.58,0.52,2022-06-03,2216,N20,VIIRS,n,2.0NRT,287.48,0.49,N
44.91246,45.28945,303.64,0.58,0.52,2022-06-03,2216,N20,VIIRS,n,2.0NRT,288.68,0.86,N
45.00836,45.12743,300.03,0.59,0.53,2022-06-03,2216,N20,VIIRS,n,2.0NRT,287.75,0.89,N
43.07938,45.76203,313.83,0.52,0.67,2022-06-03,2358,N20,VIIRS,n,2.0NRT,287.67,2.61,N
43.43626,45.45191,304.31,0.49,0.65,2022-06-03,2358,N20,VIIRS,n,2.0NRT,284.51,0.46,N
44.76582,45.21043,297.16,0.43,0.62,2022-06-03,2358,N20,VIIRS,n,2.0NRT,284.98,0.41,N
44.91226,45.28423,299.61,0.43,0.62,2022-06-03,2358,N20,VIIRS,n,2.0NRT,285.46,0.8,N
45.00852,45.12845,300.54,0.42,0.61,2022-06-03,2358,N20,VIIRS,n,2.0NRT,286.31,0.59,N
43.78608,44.76071,338.53,0.41,0.37,2022-06-04,943,N20,VIIRS,l,2.0NRT,309.83,4.77,D
43.1319,45.58417,342.2,0.39,0.44,2022-06-05,922,N20,VIIRS,n,2.0NRT,305.36,4.27,D
43.13424,45.58576,344.81,0.39,0.44,2022-06-05,922,N20,VIIRS,n,2.0NRT,303.71,8.11,D
43.43423,45.45331,332.42,0.39,0.44,2022-06-05,922,N20,VIIRS,l,2.0NRT,307.15,2.17,D
42.12396,43.01154,329.66,0.45,0.39,2022-06-05,2320,N20,VIIRS,n,2.0NRT,289.39,5.52,N
43.13475,45.58503,302.89,0.54,0.42,2022-06-05,2320,N20,VIIRS,n,2.0NRT,284.57,1.48,N
43.1972,46.28976,304.77,0.39,0.44,2022-06-05,2320,N20,VIIRS,n,2.0NRT,288.65,0.57,N
43.21146,45.84472,299.19,0.56,0.43,2022-06-05,2320,N20,VIIRS,n,2.0NRT,287.89,0.43,N
43.31173,46.06775,305.75,0.57,0.43,2022-06-05,2320,N20,VIIRS,n,2.0NRT,289.49,0.59,N
43.43351,45.44919,300.79,0.53,0.42,2022-06-05,2320,N20,VIIRS,n,2.0NRT,288.55,0.58,N
44.91303,45.29137,313.03,0.49,0.4,2022-06-05,2320,N20,VIIRS,n,2.0NRT,288.82,10.35,N
44.91428,45.28535,333.95,0.49,0.4,2022-06-05,2320,N20,VIIRS,n,2.0NRT,292.54,23.15,N
45.00838,45.12921,302.45,0.48,0.4,2022-06-05,2320,N20,VIIRS,n,2.0NRT,289.99,0.6,N
42.00061,44.13316,334.63,0.41,0.61,2022-06-06,905,N20,VIIRS,n,2.0NRT,296.47,3.57,D
43.0759,45.76088,332.85,0.32,0.55,2022-06-06,905,N20,VIIRS,n,2.0NRT,298.58,2.55,D
43.28111,46.71444,333.99,0.57,0.52,2022-06-06,905,N20,VIIRS,n,2.0NRT,297.68,6.77,D
43.28254,46.71404,335.78,0.57,0.52,2022-06-06,905,N20,VIIRS,n,2.0NRT,296.83,4.59,D
43.43187,45.45319,330.45,0.32,0.55,2022-06-06,905,N20,VIIRS,l,2.0NRT,300.66,2.9,D
40.63728,43.95547,295.88,0.39,0.36,2022-06-06,2301,N20,VIIRS,n,2.0NRT,284.37,0.44,N
41.54588,45.03867,312.54,0.39,0.36,2022-06-06,2301,N20,VIIRS,n,2.0NRT,289.76,1.4,N
44.76556,45.20913,308.15,0.38,0.36,2022-06-06,2301,N20,VIIRS,n,2.0NRT,286.75,0.55,N
44.91424,45.28617,312.74,0.38,0.36,2022-06-06,2301,N20,VIIRS,n,2.0NRT,286.63,0.99,N
45.00795,45.12933,325.37,0.38,0.36,2022-06-06,2301,N20,VIIRS,n,2.0NRT,287.43,1.18,N
44.88224,44.41132,367,0.54,0.68,2022-06-07,845,N20,VIIRS,h,2.0NRT,296.48,14.09,D
44.888,44.4078,354.76,0.54,0.68,2022-06-07,845,N20,VIIRS,n,2.0NRT,295.55,8.36,D
44.89003,44.41412,367,0.54,0.68,2022-06-07,845,N20,VIIRS,h,2.0NRT,299.14,8.36,D
44.57058,45.52931,343.36,0.51,0.49,2022-06-07,1026,N20,VIIRS,n,2.0NRT,307.48,20.08,D
43.07635,45.75974,295.03,0.42,0.38,2022-06-07,2242,N20,VIIRS,n,2.0NRT,275.46,0.71,N
43.21236,45.84689,297.07,0.42,0.38,2022-06-07,2242,N20,VIIRS,n,2.0NRT,277.18,0.44,N
43.31134,46.07156,302.17,0.42,0.38,2022-06-07,2242,N20,VIIRS,n,2.0NRT,280.38,0.56,N
43.43308,45.4527,298.55,0.44,0.38,2022-06-07,2242,N20,VIIRS,n,2.0NRT,285.89,0.64,N
44.68794,45.80214,302.81,0.44,0.38,2022-06-07,2242,N20,VIIRS,n,2.0NRT,284.95,0.77,N
44.76392,45.20717,304.05,0.46,0.39,2022-06-07,2242,N20,VIIRS,n,2.0NRT,287.78,0.97,N
44.91543,45.28651,320.71,0.46,0.39,2022-06-07,2242,N20,VIIRS,n,2.0NRT,288.76,1.81,N
45.01112,45.13005,316.46,0.46,0.39,2022-06-07,2242,N20,VIIRS,n,2.0NRT,288.06,1.7,N
39.85547,44.73336,303.75,0.43,0.38,2022-06-07,2244,N20,VIIRS,n,2.0NRT,291.8,0.79,N
40.20214,44.30885,302.2,0.44,0.39,2022-06-07,2244,N20,VIIRS,n,2.0NRT,289.29,0.57,N
