latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_month,acq_day,temperature,humidity,vapour_pressure,precipitation,soil_moisture,soil_temperature,wind,dew_point
43.22163,46.09943,334.39,0.36,0.58,2022-06-01,08:58,N20,VIIRS,n,2.0NRT,297.6,2.94,D,6,1,23.07,64.94168,0.98908424,0.0,0.272,20.92,4.3349743,16.12
45.35127,44.70214,339.05,0.37,0.58,2022-06-01,08:58,N20,VIIRS,n,2.0NRT,312.83,1.89,D,6,1,24.8025,50.90512,1.5370181,0.0,0.127,23.4025,9.0,13.9525
43.85267,43.92995,331.33,0.6,0.53,2022-06-01,10:38,N20,VIIRS,l,2.0NRT,305.53,2.64,D,6,1,28.196,31.685427,2.6120062,0.0,0.175,25.546,8.287822,9.796
43.8694,43.43611,337.88,0.57,0.52,2022-06-01,10:38,N20,VIIRS,n,2.0NRT,297.25,4.46,D,6,1,27.4515,31.79772,2.4970942,0.0,0.152,25.8515,10.799999,9.2015
44.91045,45.2876,336.58,0.36,0.57,2022-06-01,10:38,N20,VIIRS,l,2.0NRT,310.61,1.09,D,6,1,29.924002,34.46714,2.7680645,0.0,0.116,28.924002,13.627795,12.574
45.01017,45.12717,300.61,0.39,0.36,2022-06-01,22:54,N20,VIIRS,n,2.0NRT,277.87,0.39,N,6,1,23.9435,51.51263,1.4420546,0.0,0.127,27.0935,16.62249,13.3435
39.58649,43.90198,297.63,0.39,0.36,2022-06-01,22:57,N20,VIIRS,n,2.0NRT,282.24,0.63,N,6,1,13.8055,69.895676,0.47578,0.0,0.216,13.0555,6.1094027,8.4055
41.54726,45.03743,313.84,0.38,0.36,2022-06-01,22:57,N20,VIIRS,n,2.0NRT,288.59,0.83,N,6,1,21.317501,67.54549,0.8231524,0.0,0.144,24.2675,4.8433046,15.0675
42.12377,43.01407,303.34,0.41,0.37,2022-06-01,22:57,N20,VIIRS,n,2.0NRT,285.57,0.76,N,6,1,19.451,91.621506,0.18936944,0.0,0.195,21.651001,4.896529,18.051
43.07608,44.23022,305.05,0.39,0.36,2022-06-01,22:57,N20,VIIRS,n,2.0NRT,285.22,0.64,N,6,1,16.714,79.31333,0.39391005,0.0,0.296,19.614,9.114471,13.114
43.07677,44.22544,298.27,0.39,0.36,2022-06-01,22:57,N20,VIIRS,n,2.0NRT,285.05,0.64,N,6,1,16.701,79.31147,0.39362097,0.0,0.296,19.601,9.114471,13.101
43.21104,45.84611,306.98,0.38,0.36,2022-06-01,22:57,N20,VIIRS,n,2.0NRT,287.98,0.69,N,6,1,19.9235,86.339195,0.31794572,0.0,0.257,21.0235,5.8048253,17.573502
44.41991,43.56457,330.37,0.72,0.76,2022-06-02,08:39,N20,VIIRS,n,2.0NRT,293.02,6.66,D,6,2,24.210001,60.016182,1.2080898,0.0,0.139,24.91,12.261158,15.96
39.97876,44.29315,335.95,0.5,0.41,2022-06-02,10:17,N20,VIIRS,n,2.0NRT,303.79,4.4,D,6,2,27.1565,31.395739,2.4688954,0.0,0.126,29.706501,1.1384199,8.756499
41.1347,45.55439,339.74,0.39,0.44,2022-06-02,10:17,N20,VIIRS,l,2.0NRT,310.05,5.62,D,6,2,30.0035,35.288177,2.7458029,0.0,0.134,29.5035,0.71999997,13.0035
42.12305,43.0121,301.05,0.41,0.45,2022-06-02,22:35,N20,VIIRS,n,2.0NRT,290.76,1.1,N,6,2,21.0705,92.00488,0.19966602,0.0,0.179,22.4705,4.73506,19.7205
42.12482,43.01089,302.99,0.41,0.45,2022-06-02,22:35,N20,VIIRS,n,2.0NRT,290.81,0.51,N,6,2,21.077,92.00524,0.19973612,0.0,0.179,22.477,4.73506,19.727
43.07601,45.75954,303.63,0.48,0.4,2022-06-02,22:35,N20,VIIRS,n,2.0NRT,288.98,0.9,N,6,2,18.7535,70.159744,0.6460023,0.0,0.191,21.4035,5.315336,13.2035
43.07631,44.24692,306.78,0.55,0.43,2022-06-02,22:35,N20,VIIRS,n,2.0NRT,286.47,1.34,N,6,2,19.5835,76.71382,0.5307597,0.0,0.306,20.183498,2.16,15.3835
43.07661,44.24736,306.97,0.55,0.43,2022-06-02,22:35,N20,VIIRS,n,2.0NRT,286.52,1.28,N,6,2,19.5835,76.71382,0.5307597,0.0,0.306,20.183498,2.16,15.3835
43.13379,45.58364,328.52,0.49,0.4,2022-06-02,22:35,N20,VIIRS,n,2.0NRT,288.67,5.29,N,6,2,18.3855,68.27571,0.67119956,0.0,0.202,21.7855,6.0347,12.435499
43.21152,45.84248,301.46,0.48,0.4,2022-06-02,22:35,N20,VIIRS,n,2.0NRT,286.56,0.35,N,6,2,18.686499,67.22577,0.7065854,0.0,0.245,21.5865,5.692099,12.486501
43.31164,46.06879,300.89,0.47,0.4,2022-06-02,22:35,N20,VIIRS,n,2.0NRT,286.5,0.59,N,6,2,19.0375,61.580185,0.84667647,0.0,0.182,22.3875,11.592894,11.4875
43.3437,45.5997,297.42,0.49,0.4,2022-06-02,22:35,N20,VIIRS,n,2.0NRT,287.16,0.46,N,6,2,20.255001,52.9604,1.1179662,0.0,0.102,24.455,9.904906,10.3550005
43.4332,45.45805,309.17,0.49,0.41,2022-06-02,22:35,N20,VIIRS,n,2.0NRT,287.46,1.05,N,6,2,20.1965,51.72099,1.1433088,0.0,0.136,23.8465,8.891344,9.9465
43.43387,45.45195,316.86,0.5,0.41,2022-06-02,22:35,N20,VIIRS,n,2.0NRT,288.17,2.41,N,6,2,20.294,51.746746,1.149589,0.0,0.136,23.944,8.891344,10.044
44.07574,43.42958,312.68,0.41,0.45,2022-06-02,22:35,N20,VIIRS,n,2.0NRT,286.23,1.57,N,6,2,22.575998,42.024506,1.5881116,0.0,0.152,24.825998,14.973576,9.026
44.67301,44.72579,296.79,0.55,0.42,2022-06-02,22:35,N20,VIIRS,n,2.0NRT,285.23,0.69,N,6,2,21.785,40.958073,1.5414526,0.0,0.152,25.435,12.57426,7.935
44.82685,44.11416,325.64,0.39,0.44,2022-06-02,22:35,N20,VIIRS,n,2.0NRT,286.67,1.77,N,6,2,23.282,35.28372,1.8502015,0.0,0.135,27.231998,17.298738,7.0820003
44.91479,45.28418,309.33,0.52,0.42,2022-06-02,22:35,N20,VIIRS,n,2.0NRT,286.36,0.86,N,6,2,21.674002,45.911373,1.4025106,0.0,0.117,25.924002,10.829958,9.524
45.00929,45.12654,298.64,0.53,0.42,2022-06-02,22:35,N20,VIIRS,n,2.0NRT,286.66,0.69,N,6,2,22.1,43.18323,1.5120292,0.0,0.128,26.0,10.315115,9.0
44.76197,45.20746,298.15,0.71,0.75,2022-06-03,00:16,N20,VIIRS,n,2.0NRT,284.78,0.75,N,6,3,21.3825,66.6952,0.84809136,0.0,0.153,24.2825,9.826088,14.9325
44.76639,45.21294,296.71,0.71,0.75,2022-06-03,00:16,N20,VIIRS,n,2.0NRT,284.21,0.81,N,6,3,20.824001,71.46467,0.7021574,0.0,0.137,24.374,9.83268,15.474
44.82664,44.11954,317.58,0.63,0.72,2022-06-03,00:16,N20,VIIRS,n,2.0NRT,284.51,2.51,N,6,3,23.5515,43.011314,1.6557167,0.0,0.134,25.4515,8.225035,10.2515
44.91331,45.28861,314.82,0.7,0.75,2022-06-03,00:16,N20,VIIRS,n,2.0NRT,284.26,2.21,N,6,3,20.8305,72.619095,0.67400753,0.0,0.116,25.030499,10.464797,15.7305
45.00853,45.1272,299.18,0.69,0.74,2022-06-03,00:16,N20,VIIRS,n,2.0NRT,283.92,1.0,N,6,3,21.15,67.94737,0.8046659,0.0,0.127,24.9,9.693296,15.0
45.01129,45.12688,295.33,0.69,0.74,2022-06-03,00:16,N20,VIIRS,n,2.0NRT,283.0,0.68,N,6,3,21.15,67.94737,0.8046659,0.0,0.127,24.9,9.693296,15.0
44.76445,45.20659,298.63,0.58,0.52,2022-06-03,22:16,N20,VIIRS,n,2.0NRT,287.48,0.49,N,6,3,24.2825,43.792294,1.7061657,0.0,0.153,26.332499,10.685391,11.1825
44.91246,45.28945,303.64,0.58,0.52,2022-06-03,22:16,N20,VIIRS,n,2.0NRT,288.68,0.86,N,6,3,23.924002,49.204216,1.5090055,0.0,0.116,27.724,10.799999,12.624
