latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
41.28986,15.67768,322.09,0.39,0.36,2022-06-28,50,N20,VIIRS,n,2.0NRT,292.68,1.67,N
41.43537,15.88941,310.04,0.39,0.36,2022-06-28,50,N20,VIIRS,n,2.0NRT,291.33,0.78,N
41.43674,15.88026,338.81,0.39,0.36,2022-06-28,50,N20,VIIRS,n,2.0NRT,291.96,4.06,N
41.64766,15.46695,317.65,0.39,0.36,2022-06-28,50,N20,VIIRS,n,2.0NRT,290.54,1.86,N
41.64833,15.46231,329.95,0.39,0.36,2022-06-28,50,N20,VIIRS,n,2.0NRT,290.97,1.86,N
41.88545,15.28035,322.97,0.39,0.36,2022-06-28,50,N20,VIIRS,n,2.0NRT,293.46,2,N
41.34875,15.94405,348.79,0.53,0.42,2022-06-28,1212,N20,VIIRS,n,2.0NRT,312.33,8.54,D
41.34754,15.49971,306.3,0.54,0.42,2022-06-29,30,N20,VIIRS,n,2.0NRT,295.28,1.65,N
41.34833,15.50057,305.7,0.54,0.42,2022-06-29,30,N20,VIIRS,n,2.0NRT,295.14,1.78,N
41.67118,15.7198,329.98,0.53,0.42,2022-06-29,30,N20,VIIRS,n,2.0NRT,296.72,2.95,N
41.67497,15.72104,311.55,0.53,0.42,2022-06-29,30,N20,VIIRS,n,2.0NRT,295.41,2.95,N
41.53587,15.77997,346.47,0.39,0.36,2022-06-29,1153,N20,VIIRS,n,2.0NRT,318.63,14,D
41.75681,15.56852,338.99,0.39,0.36,2022-06-29,1153,N20,VIIRS,l,2.0NRT,313.69,4.2,D
41.42411,15.83047,308.22,0.6,0.53,2022-06-30,11,N20,VIIRS,n,2.0NRT,293.44,1.11,N
41.46423,15.89311,306.68,0.59,0.53,2022-06-30,11,N20,VIIRS,n,2.0NRT,293.33,1.33,N
41.46471,15.88597,311.1,0.59,0.53,2022-06-30,11,N20,VIIRS,n,2.0NRT,293.15,1.61,N
41.4665,15.88721,306.55,0.5,0.66,2022-06-30,152,N20,VIIRS,n,2.0NRT,291.69,0.92,N
41.25827,15.93809,343.2,0.45,0.39,2022-06-30,1134,N20,VIIRS,n,2.0NRT,311.13,8.92,D
41.76803,15.34316,343.49,0.47,0.39,2022-06-30,1136,N20,VIIRS,n,2.0NRT,311.45,4.4,D
41.59378,15.84445,303.37,0.53,0.67,2022-06-30,2352,N20,VIIRS,n,2.0NRT,292.27,0.83,N
41.61206,15.45748,305.45,0.55,0.68,2022-06-30,2352,N20,VIIRS,n,2.0NRT,291.73,1.11,N
41.614,15.45968,307.86,0.55,0.68,2022-06-30,2352,N20,VIIRS,n,2.0NRT,291.75,0.99,N
41.36833,15.88546,341.77,0.48,0.48,2022-07-01,1117,N20,VIIRS,n,2.0NRT,310.28,3.76,D
41.36893,15.88923,343.36,0.48,0.48,2022-07-01,1117,N20,VIIRS,n,2.0NRT,308.85,5.86,D
41.36961,15.89101,332.59,0.48,0.48,2022-07-01,1117,N20,VIIRS,l,2.0NRT,307.11,3.76,D
41.42771,15.34559,338,0.51,0.5,2022-07-01,1117,N20,VIIRS,l,2.0NRT,311.31,2.03,D
41.52599,15.90158,342.72,0.48,0.48,2022-07-01,1117,N20,VIIRS,n,2.0NRT,306.26,5.36,D
41.38163,15.57161,330.65,0.62,0.72,2022-07-01,1255,N20,VIIRS,n,2.0NRT,295.12,3.51,D
41.77786,15.09316,331.37,0.59,0.7,2022-07-01,1257,N20,VIIRS,n,2.0NRT,297.73,4.55,D
41.46732,15.31789,314.18,0.5,0.41,2022-07-02,113,N20,VIIRS,n,2.0NRT,293.56,1.42,N
41.55064,15.34847,303.26,0.5,0.41,2022-07-02,113,N20,VIIRS,n,2.0NRT,291.88,0.61,N
41.71755,15.02879,325.92,0.48,0.4,2022-07-02,113,N20,VIIRS,n,2.0NRT,295.22,3.26,N
41.21476,15.86801,330.08,0.42,0.61,2022-07-02,1058,N20,VIIRS,l,2.0NRT,302.8,1.53,D
41.31924,15.70682,345.62,0.43,0.62,2022-07-02,1058,N20,VIIRS,n,2.0NRT,303.63,5.69,D
41.71949,15.40772,336.85,0.43,0.62,2022-07-02,1058,N20,VIIRS,n,2.0NRT,302.62,3.09,D
41.72277,15.40602,350.85,0.43,0.62,2022-07-02,1058,N20,VIIRS,n,2.0NRT,302.55,4.82,D
41.72416,15.41082,335.68,0.43,0.62,2022-07-02,1058,N20,VIIRS,n,2.0NRT,301.13,4.82,D
41.72481,15.40498,331.29,0.43,0.62,2022-07-02,1058,N20,VIIRS,l,2.0NRT,301.74,3.09,D
41.72617,15.40981,333.23,0.43,0.62,2022-07-02,1058,N20,VIIRS,n,2.0NRT,301.14,3.09,D
41.7371,15.34966,355.16,0.43,0.62,2022-07-02,1058,N20,VIIRS,n,2.0NRT,302.87,6.12,D
41.85208,15.05276,344.47,0.44,0.62,2022-07-02,1058,N20,VIIRS,n,2.0NRT,302.93,3.95,D
41.85348,15.04957,347.2,0.44,0.62,2022-07-02,1058,N20,VIIRS,n,2.0NRT,302.83,4.18,D
41.41049,15.85205,334.89,0.36,0.58,2022-07-02,1238,N20,VIIRS,n,2.0NRT,303.06,2.33,D
41.63689,15.35722,367,0.34,0.56,2022-07-02,1238,N20,VIIRS,h,2.0NRT,308.99,8.24,D
41.63765,15.35721,367,0.34,0.56,2022-07-02,1238,N20,VIIRS,h,2.0NRT,308.04,10.45,D
41.64209,15.35673,338.31,0.34,0.56,2022-07-02,1238,N20,VIIRS,n,2.0NRT,307.74,2.08,D
41.64265,15.25193,332.9,0.34,0.56,2022-07-02,1238,N20,VIIRS,l,2.0NRT,306.84,1.25,D
41.64729,15.35625,332.61,0.34,0.56,2022-07-02,1238,N20,VIIRS,l,2.0NRT,305.85,2.08,D
41.84588,15.30969,334.61,0.34,0.56,2022-07-02,1238,N20,VIIRS,n,2.0NRT,303.43,1.31,D
41.42183,15.87897,338.51,0.7,0.75,2022-07-03,1038,N20,VIIRS,n,2.0NRT,301.36,5.07,D
41.42339,15.87844,340.66,0.7,0.75,2022-07-03,1038,N20,VIIRS,n,2.0NRT,301.1,5.07,D
41.42856,15.89378,331.72,0.7,0.75,2022-07-03,1038,N20,VIIRS,l,2.0NRT,302.08,5.29,D
41.42947,15.90202,348.15,0.7,0.75,2022-07-03,1038,N20,VIIRS,n,2.0NRT,301.67,9.16,D
41.43113,15.90141,341.5,0.7,0.75,2022-07-03,1038,N20,VIIRS,n,2.0NRT,301.24,5.29,D
41.53589,15.78459,333.38,0.7,0.75,2022-07-03,1038,N20,VIIRS,n,2.0NRT,299.41,4.71,D
41.53839,15.78592,338.41,0.7,0.75,2022-07-03,1038,N20,VIIRS,n,2.0NRT,299.52,8.76,D
41.35633,15.69642,338.77,0.4,0.45,2022-07-03,1219,N20,VIIRS,l,2.0NRT,312.97,1.53,D
41.4073,15.7979,341.04,0.41,0.45,2022-07-03,1219,N20,VIIRS,l,2.0NRT,312.31,5.11,D
41.42468,15.8958,342.35,0.41,0.45,2022-07-03,1219,N20,VIIRS,n,2.0NRT,311.48,2.88,D
41.42516,15.85535,344.72,0.41,0.45,2022-07-03,1219,N20,VIIRS,n,2.0NRT,312.39,8.45,D
41.42562,15.86031,356.21,0.41,0.45,2022-07-03,1219,N20,VIIRS,n,2.0NRT,315.82,11.52,D
41.42976,15.85967,350.07,0.41,0.45,2022-07-03,1219,N20,VIIRS,n,2.0NRT,312.19,11.52,D
41.43389,15.85903,341.17,0.41,0.45,2022-07-03,1219,N20,VIIRS,n,2.0NRT,310.83,4.81,D
41.54211,15.78388,338.19,0.41,0.45,2022-07-03,1219,N20,VIIRS,l,2.0NRT,311.67,4.09,D
41.5467,15.78819,340.18,0.41,0.45,2022-07-03,1219,N20,VIIRS,l,2.0NRT,310.99,4.09,D
41.23261,15.80225,302.4,0.45,0.39,2022-07-04,37,N20,VIIRS,n,2.0NRT,292.08,0.37,N
41.28088,15.75326,304.6,0.45,0.39,2022-07-04,37,N20,VIIRS,n,2.0NRT,291.7,0.25,N
41.39535,15.72859,317.42,0.46,0.39,2022-07-04,37,N20,VIIRS,n,2.0NRT,292.98,1.68,N
41.4212,15.81759,303.68,0.45,0.39,2022-07-04,37,N20,VIIRS,n,2.0NRT,293.13,0.61,N
41.4241,15.82377,308.74,0.45,0.39,2022-07-04,37,N20,VIIRS,n,2.0NRT,293.19,1.27,N
41.42766,15.82453,320.54,0.45,0.39,2022-07-04,37,N20,VIIRS,n,2.0NRT,293.78,1.27,N
41.55022,15.79609,305.21,0.46,0.39,2022-07-04,37,N20,VIIRS,n,2.0NRT,293.52,0.69,N
41.73552,15.08087,303.54,0.49,0.4,2022-07-04,37,N20,VIIRS,n,2.0NRT,291.64,0.52,N
41.40617,15.92167,348.91,0.41,0.37,2022-07-04,1200,N20,VIIRS,n,2.0NRT,316.62,8.69,D
41.4068,15.92655,340.92,0.41,0.37,2022-07-04,1200,N20,VIIRS,l,2.0NRT,315.56,8.69,D
41.53024,15.82891,355,0.41,0.37,2022-07-04,1200,N20,VIIRS,n,2.0NRT,317.75,18.33,D
41.54605,15.79009,340.36,0.41,0.37,2022-07-04,1200,N20,VIIRS,l,2.0NRT,314.83,8.17,D
41.54815,15.77957,367,0.41,0.37,2022-07-04,1200,N20,VIIRS,l,2.0NRT,326.26,43.76,D
41.54943,15.78929,340.9,0.41,0.37,2022-07-04,1200,N20,VIIRS,l,2.0NRT,313.96,11.95,D
41.55217,15.78364,340.74,0.41,0.37,2022-07-04,1200,N20,VIIRS,l,2.0NRT,313.62,43.76,D
41.63532,15.67117,367,0.41,0.37,2022-07-04,1200,N20,VIIRS,l,2.0NRT,325.96,22.56,D
41.63869,15.67036,347.42,0.41,0.37,2022-07-04,1200,N20,VIIRS,l,2.0NRT,319.87,22.56,D
41.75429,15.4832,338.51,0.4,0.37,2022-07-04,1200,N20,VIIRS,l,2.0NRT,313.49,8.49,D
41.87011,15.25405,346.28,0.4,0.37,2022-07-04,1200,N20,VIIRS,n,2.0NRT,314.03,4.38,D
41.89569,15.60185,345.05,0.41,0.37,2022-07-04,1200,N20,VIIRS,n,2.0NRT,314.35,5.78,D
41.41446,15.61077,307.25,0.51,0.49,2022-07-05,18,N20,VIIRS,n,2.0NRT,292.66,0.72,N
41.41565,15.60589,303.77,0.51,0.49,2022-07-05,18,N20,VIIRS,n,2.0NRT,292.36,1.26,N
41.42149,15.34319,306.52,0.56,0.69,2022-07-05,158,N20,VIIRS,n,2.0NRT,290.97,0.77,N
41.39867,15.73297,342.7,0.41,0.37,2022-07-05,1142,N20,VIIRS,l,2.0NRT,315.69,7.25,D
41.4299,15.3269,343.05,0.42,0.38,2022-07-05,1142,N20,VIIRS,l,2.0NRT,315.91,5.18,D
41.60936,15.59994,348.18,0.41,0.37,2022-07-05,1142,N20,VIIRS,n,2.0NRT,313.9,11.6,D
41.61315,15.50112,344.33,0.42,0.37,2022-07-05,1142,N20,VIIRS,l,2.0NRT,315.78,18.62,D
41.61401,15.506,345.11,0.41,0.37,2022-07-05,1142,N20,VIIRS,l,2.0NRT,315.98,12.43,D
41.81365,15.37069,335.97,0.42,0.37,2022-07-05,1142,N20,VIIRS,l,2.0NRT,307.51,2.44,D
41.43564,15.36609,302.6,0.46,0.64,2022-07-05,2358,N20,VIIRS,n,2.0NRT,289.62,1.11,N
41.32372,15.71745,302.72,0.44,0.63,2022-07-06,1,N20,VIIRS,n,2.0NRT,289.87,0.75,N
41.75779,15.00441,312.73,0.62,0.54,2022-07-06,139,N20,VIIRS,n,2.0NRT,289.66,2.43,N
41.76038,15.0054,305.84,0.62,0.54,2022-07-06,139,N20,VIIRS,n,2.0NRT,289.49,1.46,N
41.21245,15.71568,354.25,0.42,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,311.36,12.9,D
41.26976,15.89914,331.54,0.41,0.45,2022-07-06,1121,N20,VIIRS,l,2.0NRT,306.04,2,D
41.31128,15.54957,346.53,0.42,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,311.76,22.43,D
41.3133,15.54762,341.54,0.42,0.45,2022-07-06,1121,N20,VIIRS,l,2.0NRT,315.4,21.32,D
41.31532,15.54803,350.52,0.42,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,311.66,22.43,D
41.31733,15.54605,347.44,0.42,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,312.19,21.32,D
41.31839,15.55088,337.75,0.42,0.45,2022-07-06,1121,N20,VIIRS,l,2.0NRT,308.76,21.32,D
41.31935,15.54647,348.11,0.42,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,310.69,4.59,D
41.32043,15.55127,339.61,0.42,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,309.09,4.59,D
41.32445,15.54965,338.42,0.42,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,309.67,4.59,D
41.33934,15.67439,332.92,0.42,0.45,2022-07-06,1121,N20,VIIRS,l,2.0NRT,306.54,2.58,D
41.39372,15.8796,344.69,0.41,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,305.32,6.77,D
41.4106,15.87816,349.73,0.41,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,305.6,5.22,D
41.41457,15.87663,346.22,0.41,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,303.81,5.22,D
41.4156,15.88132,341.25,0.41,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,304.87,4.26,D
41.41663,15.886,337.85,0.41,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,305.28,4.26,D
41.41853,15.8751,338.95,0.41,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,304.82,1.57,D
41.43761,15.49725,349.22,0.42,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,308.16,5.49,D
41.47929,15.91762,331.73,0.4,0.44,2022-07-06,1121,N20,VIIRS,l,2.0NRT,304.57,3.4,D
41.55914,15.48334,337.86,0.42,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,306.46,4.3,D
41.68486,15.85818,334.45,0.4,0.44,2022-07-06,1121,N20,VIIRS,l,2.0NRT,307.66,1.5,D
41.6888,15.85662,340.9,0.4,0.44,2022-07-06,1121,N20,VIIRS,n,2.0NRT,308.5,4.05,D
41.38395,15.94307,330.69,0.79,0.78,2022-07-06,1304,N20,VIIRS,n,2.0NRT,293.72,2.98,D
41.38513,15.94337,330.95,0.79,0.78,2022-07-06,1304,N20,VIIRS,n,2.0NRT,294.47,4.46,D
41.4908,15.64412,306.95,0.79,0.78,2022-07-06,2339,N20,VIIRS,n,2.0NRT,287.04,1.59,N
41.21131,15.55675,304.84,0.4,0.44,2022-07-07,120,N20,VIIRS,n,2.0NRT,290.86,0.96,N
41.21226,15.55248,306.73,0.4,0.44,2022-07-07,120,N20,VIIRS,n,2.0NRT,290.43,0.96,N
41.23142,15.48518,334.05,0.4,0.44,2022-07-07,120,N20,VIIRS,n,2.0NRT,290.87,2.12,N
41.23244,15.48056,299.99,0.4,0.44,2022-07-07,120,N20,VIIRS,n,2.0NRT,289.73,2.12,N
41.23536,15.48664,303.89,0.4,0.44,2022-07-07,120,N20,VIIRS,n,2.0NRT,290.66,1.41,N
41.23638,15.48202,324.07,0.4,0.44,2022-07-07,120,N20,VIIRS,n,2.0NRT,290.53,1.41,N
41.48632,15.65018,303.9,0.4,0.44,2022-07-07,120,N20,VIIRS,n,2.0NRT,291.28,0.69,N
41.48733,15.64556,305.29,0.4,0.44,2022-07-07,120,N20,VIIRS,n,2.0NRT,290.8,0.69,N
41.51961,15.36104,310.31,0.39,0.44,2022-07-07,120,N20,VIIRS,n,2.0NRT,291.24,1,N
41.59751,15.39982,300.38,0.39,0.44,2022-07-07,120,N20,VIIRS,n,2.0NRT,290.05,0.4,N
41.60143,15.38187,308.02,0.39,0.44,2022-07-07,120,N20,VIIRS,n,2.0NRT,289.88,0.73,N
41.21368,15.96507,342.7,0.35,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,300.73,4.6,D
41.21761,15.95902,332.46,0.35,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,296.81,8.39,D
41.21864,15.96286,367,0.35,0.57,2022-07-07,1104,N20,VIIRS,h,2.0NRT,299.71,13.03,D
41.36035,15.47949,331.25,0.36,0.58,2022-07-07,1104,N20,VIIRS,l,2.0NRT,302.48,4.07,D
41.36142,15.48349,345.36,0.36,0.58,2022-07-07,1104,N20,VIIRS,n,2.0NRT,303.47,7.28,D
41.36249,15.48749,367,0.36,0.58,2022-07-07,1104,N20,VIIRS,h,2.0NRT,303.67,7.28,D
41.36356,15.4915,331.83,0.36,0.58,2022-07-07,1104,N20,VIIRS,n,2.0NRT,304.08,5.99,D
41.36464,15.49549,347.89,0.36,0.58,2022-07-07,1104,N20,VIIRS,n,2.0NRT,304.69,5.99,D
41.36572,15.49952,333.5,0.36,0.58,2022-07-07,1104,N20,VIIRS,n,2.0NRT,304.24,5.34,D
41.36641,15.481,337.52,0.36,0.58,2022-07-07,1104,N20,VIIRS,n,2.0NRT,301.28,7.28,D
41.36748,15.48502,367,0.36,0.58,2022-07-07,1104,N20,VIIRS,h,2.0NRT,303.87,7.28,D
41.36856,15.48903,367,0.36,0.58,2022-07-07,1104,N20,VIIRS,h,2.0NRT,302.45,5.99,D
41.36963,15.49305,367,0.36,0.58,2022-07-07,1104,N20,VIIRS,h,2.0NRT,304.14,5.99,D
41.38895,15.91944,342.45,0.35,0.56,2022-07-07,1104,N20,VIIRS,n,2.0NRT,301.51,4.34,D
41.39112,15.91678,333.36,0.35,0.56,2022-07-07,1104,N20,VIIRS,n,2.0NRT,301.68,4.53,D
41.3942,15.92852,332.65,0.34,0.56,2022-07-07,1104,N20,VIIRS,n,2.0NRT,299.91,3.25,D
41.40296,15.93045,367,0.34,0.56,2022-07-07,1104,N20,VIIRS,h,2.0NRT,303.4,7.74,D
41.40401,15.93436,341.12,0.34,0.56,2022-07-07,1104,N20,VIIRS,n,2.0NRT,300.54,7.74,D
41.40738,15.69748,367,0.35,0.57,2022-07-07,1104,N20,VIIRS,h,2.0NRT,299.88,4.63,D
41.40844,15.70146,337.03,0.35,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,299.97,4.63,D
41.4095,15.76818,350.45,0.35,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,301.04,6.27,D
41.41127,15.75394,335.48,0.35,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,294.57,2.18,D
41.41339,15.76187,334.48,0.35,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,298.65,3.06,D
41.41444,15.76581,332.18,0.35,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,300.79,2.46,D
41.41752,15.83993,346.8,0.35,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,300.4,3.87,D
41.88769,15.31625,340.75,0.36,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,298.3,1.22,D
41.90715,15.28109,333.89,0.36,0.57,2022-07-07,1104,N20,VIIRS,n,2.0NRT,297.24,3.28,D
41.21379,15.96537,336.51,0.44,0.63,2022-07-07,1244,N20,VIIRS,n,2.0NRT,298.92,3.89,D
41.36937,15.4809,331.7,0.42,0.61,2022-07-07,1244,N20,VIIRS,n,2.0NRT,296.02,4.98,D
41.36958,15.48611,367,0.42,0.61,2022-07-07,1244,N20,VIIRS,h,2.0NRT,299.19,8.85,D
41.36979,15.49131,353.02,0.42,0.61,2022-07-07,1244,N20,VIIRS,n,2.0NRT,297.59,8.85,D
41.38414,15.56363,367,0.42,0.61,2022-07-07,1244,N20,VIIRS,h,2.0NRT,297.73,12.09,D
41.50718,15.70382,334.49,0.43,0.62,2022-07-07,1244,N20,VIIRS,n,2.0NRT,297.06,2.68,D
41.52043,15.50111,331.3,0.42,0.61,2022-07-07,1244,N20,VIIRS,n,2.0NRT,299.93,2.61,D
41.59924,15.70399,367,0.43,0.62,2022-07-07,1244,N20,VIIRS,h,2.0NRT,296.77,10.94,D
