latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
41.12761,15.52914,305.71,0.45,0.63,2022-07-06,1,N20,VIIRS,n,2.0NRT,289.92,1.05,N
41.13266,15.5286,321.02,0.45,0.63,2022-07-06,1,N20,VIIRS,n,2.0NRT,290.4,2.54,N
41.13282,15.52388,305.57,0.45,0.63,2022-07-06,1,N20,VIIRS,n,2.0NRT,289.92,2.01,N
41.13346,15.52927,308.55,0.45,0.63,2022-07-06,1,N20,VIIRS,n,2.0NRT,290.14,1.3,N
41.13365,15.52453,309.28,0.45,0.63,2022-07-06,1,N20,VIIRS,n,2.0NRT,289.87,1.3,N
41.32372,15.71745,302.72,0.44,0.63,2022-07-06,1,N20,VIIRS,n,2.0NRT,289.87,0.75,N
41.13448,15.5291,303.94,0.34,0.56,2022-07-06,139,N20,VIIRS,n,2.0NRT,291.33,0.57,N
41.75779,15.00441,312.73,0.62,0.54,2022-07-06,139,N20,VIIRS,n,2.0NRT,289.66,2.43,N
41.76038,15.0054,305.84,0.62,0.54,2022-07-06,139,N20,VIIRS,n,2.0NRT,289.49,1.46,N
41.09388,15.82092,343.2,0.42,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,307.96,3.03,D
41.16929,15.71735,338.62,0.42,0.45,2022-07-06,1121,N20,VIIRS,l,2.0NRT,309.28,2.53,D
41.21245,15.71568,354.25,0.42,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,311.36,12.9,D
41.26976,15.89914,331.54,0.41,0.45,2022-07-06,1121,N20,VIIRS,l,2.0NRT,306.04,2,D
41.31128,15.54957,346.53,0.42,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,311.76,22.43,D
41.3133,15.54762,341.54,0.42,0.45,2022-07-06,1121,N20,VIIRS,l,2.0NRT,315.4,21.32,D
41.31532,15.54803,350.52,0.42,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,311.66,22.43,D
41.31733,15.54605,347.44,0.42,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,312.19,21.32,D
41.31839,15.55088,337.75,0.42,0.45,2022-07-06,1121,N20,VIIRS,l,2.0NRT,308.76,21.32,D
41.31935,15.54647,348.11,0.42,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,310.69,4.59,D
41.32043,15.55127,339.61,0.42,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,309.09,4.59,D
41.32445,15.54965,338.42,0.42,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,309.67,4.59,D
41.33934,15.67439,332.92,0.42,0.45,2022-07-06,1121,N20,VIIRS,l,2.0NRT,306.54,2.58,D
41.39372,15.8796,344.69,0.41,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,305.32,6.77,D
41.4106,15.87816,349.73,0.41,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,305.6,5.22,D
41.41457,15.87663,346.22,0.41,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,303.81,5.22,D
41.4156,15.88132,341.25,0.41,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,304.87,4.26,D
41.41663,15.886,337.85,0.41,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,305.28,4.26,D
41.41853,15.8751,338.95,0.41,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,304.82,1.57,D
41.43761,15.49725,349.22,0.42,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,308.16,5.49,D
41.47929,15.91762,331.73,0.4,0.44,2022-07-06,1121,N20,VIIRS,l,2.0NRT,304.57,3.4,D
41.55914,15.48334,337.86,0.42,0.45,2022-07-06,1121,N20,VIIRS,n,2.0NRT,306.46,4.3,D
41.68486,15.85818,334.45,0.4,0.44,2022-07-06,1121,N20,VIIRS,l,2.0NRT,307.66,1.5,D
41.6888,15.85662,340.9,0.4,0.44,2022-07-06,1121,N20,VIIRS,n,2.0NRT,308.5,4.05,D
41.38395,15.94307,330.69,0.79,0.78,2022-07-06,1304,N20,VIIRS,n,2.0NRT,293.72,2.98,D
41.38513,15.94337,330.95,0.79,0.78,2022-07-06,1304,N20,VIIRS,n,2.0NRT,294.47,4.46,D
41.06541,15.89099,299.06,0.77,0.77,2022-07-06,2339,N20,VIIRS,n,2.0NRT,285.84,0.75,N
41.4908,15.64412,306.95,0.79,0.78,2022-07-06,2339,N20,VIIRS,n,2.0NRT,287.04,1.59,N
41.0632,15.89578,303.64,0.42,0.45,2022-07-07,120,N20,VIIRS,n,2.0NRT,288.63,0.36,N
