latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_month,acq_day,temperature,humidity,vapour_pressure,precipitation,soil_moisture,soil_temperature,wind,dew_point
40.54832,16.96331,319.45,0.37,0.58,2022-07-06,00:01,N20,VIIRS,n,2.0NRT,291.99,1.75,N,7,6,26.948,49.685684,1.7880267,0.0,0.141,30.748,16.299694,15.548
40.639,15.83003,300.98,0.43,0.62,2022-07-06,00:01,N20,VIIRS,n,2.0NRT,289.0,0.65,N,7,6,24.244,50.92406,1.4860678,0.0,0.12,29.043999,4.896529,13.444
40.94132,16.75331,320.09,0.39,0.59,2022-07-06,00:01,N20,VIIRS,n,2.0NRT,290.42,1.22,N,7,6,23.722,73.81579,0.768157,0.0,0.139,27.422,8.435069,18.772001
41.12761,15.52914,305.71,0.45,0.63,2022-07-06,00:01,N20,VIIRS,n,2.0NRT,289.92,1.05,N,7,6,25.092,52.484684,1.513356,0.0,0.135,29.542,9.673221,14.691999
41.13266,15.5286,321.02,0.45,0.63,2022-07-06,00:01,N20,VIIRS,n,2.0NRT,290.4,2.54,N,7,6,25.1505,52.499737,1.5181412,0.0,0.135,29.6005,9.673221,14.7505
41.13282,15.52388,305.57,0.45,0.63,2022-07-06,00:01,N20,VIIRS,n,2.0NRT,289.92,2.01,N,7,6,24.779999,52.404278,1.4880469,0.0,0.135,29.23,9.673221,14.379999
41.13346,15.52927,308.55,0.45,0.63,2022-07-06,00:01,N20,VIIRS,n,2.0NRT,290.14,1.3,N,7,6,25.248,52.524826,1.5261459,0.0,0.135,29.698,9.673221,14.848
41.13365,15.52453,309.28,0.45,0.63,2022-07-06,00:01,N20,VIIRS,n,2.0NRT,289.87,1.3,N,7,6,24.8645,52.42606,1.494866,0.0,0.135,29.3145,9.673221,14.464499
41.32372,15.71745,302.72,0.44,0.63,2022-07-06,00:01,N20,VIIRS,n,2.0NRT,289.87,0.75,N,7,6,26.375,58.273476,1.4335339,0.0,0.282,30.375,12.413477,17.525002
40.35692,16.72196,311.78,0.41,0.61,2022-07-06,01:39,N20,VIIRS,n,2.0NRT,291.74,0.81,N,7,6,27.005001,44.8323,1.9672632,0.0,0.147,30.355,6.638072,14.005
40.54532,16.96216,308.85,0.42,0.61,2022-07-06,01:39,N20,VIIRS,n,2.0NRT,291.41,0.86,N,7,6,26.4805,51.837692,1.6651583,0.0,0.141,29.9305,16.24394,15.7805
40.54632,16.96188,303.7,0.42,0.61,2022-07-06,01:39,N20,VIIRS,n,2.0NRT,291.32,0.35,N,7,6,26.4675,51.834347,1.6640024,0.0,0.141,29.917501,16.24394,15.7675
40.95131,15.66769,300.85,0.35,0.57,2022-07-06,01:39,N20,VIIRS,n,2.0NRT,290.14,0.53,N,7,6,22.8755,61.065422,1.0856928,0.0,0.1,26.1255,3.4152596,14.9755
40.97005,15.78518,305.81,0.36,0.57,2022-07-06,01:39,N20,VIIRS,n,2.0NRT,290.98,0.79,N,7,6,24.8505,48.65249,1.6122103,0.0,0.129,29.1005,9.19939,13.3005
41.13448,15.5291,303.94,0.34,0.56,2022-07-06,01:39,N20,VIIRS,n,2.0NRT,291.33,0.57,N,7,6,24.448,58.932503,1.2586277,0.0,0.135,28.798,10.630672,15.898
41.75779,15.00441,312.73,0.62,0.54,2022-07-06,01:39,N20,VIIRS,n,2.0NRT,289.66,2.43,N,7,6,23.3465,68.169106,0.91306627,0.0,0.246,27.8465,6.849467,17.1465
41.76038,15.0054,305.84,0.62,0.54,2022-07-06,01:39,N20,VIIRS,n,2.0NRT,289.49,1.46,N,7,6,23.561,68.211624,0.92368484,0.0,0.246,28.061,6.849467,17.361
40.53988,16.7835,340.4,0.39,0.44,2022-07-06,11:21,N20,VIIRS,n,2.0NRT,306.5,6.21,D,7,6,33.789,30.558584,3.6492267,0.0,0.143,32.239002,16.311613,14.089
40.54081,16.7879,342.93,0.38,0.44,2022-07-06,11:21,N20,VIIRS,n,2.0NRT,305.94,6.21,D,7,6,33.789,30.558584,3.6492267,0.0,0.143,32.239002,16.311613,14.089
40.55495,16.89414,335.99,0.57,0.43,2022-07-06,11:21,N20,VIIRS,n,2.0NRT,304.99,3.07,D,7,6,34.1975,30.080364,3.7588243,0.0,0.14,32.3975,17.418196,14.1975
40.56266,16.89133,338.24,0.57,0.43,2022-07-06,11:21,N20,VIIRS,l,2.0NRT,308.71,6.89,D,7,6,33.911,31.291737,3.6352162,0.0,0.142,32.111,19.734436,14.561
40.56655,16.89004,337.02,0.57,0.43,2022-07-06,11:21,N20,VIIRS,l,2.0NRT,308.76,7.13,D,7,6,33.7225,31.240374,3.599962,0.0,0.142,31.9225,19.734436,14.372499
