latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
40.54832,16.96331,319.45,0.37,0.58,2022-07-06,1,N20,VIIRS,n,2.0NRT,291.99,1.75,N
40.639,15.83003,300.98,0.43,0.62,2022-07-06,1,N20,VIIRS,n,2.0NRT,289,0.65,N
40.94132,16.75331,320.09,0.39,0.59,2022-07-06,1,N20,VIIRS,n,2.0NRT,290.42,1.22,N
41.12761,15.52914,305.71,0.45,0.63,2022-07-06,1,N20,VIIRS,n,2.0NRT,289.92,1.05,N
41.13266,15.5286,321.02,0.45,0.63,2022-07-06,1,N20,VIIRS,n,2.0NRT,290.4,2.54,N
41.13282,15.52388,305.57,0.45,0.63,2022-07-06,1,N20,VIIRS,n,2.0NRT,289.92,2.01,N
41.13346,15.52927,308.55,0.45,0.63,2022-07-06,1,N20,VIIRS,n,2.0NRT,290.14,1.3,N
41.13365,15.52453,309.28,0.45,0.63,2022-07-06,1,N20,VIIRS,n,2.0NRT,289.87,1.3,N
41.32372,15.71745,302.72,0.44,0.63,2022-07-06,1,N20,VIIRS,n,2.0NRT,289.87,0.75,N
40.35692,16.72196,311.78,0.41,0.61,2022-07-06,139,N20,VIIRS,n,2.0NRT,291.74,0.81,N
40.54532,16.96216,308.85,0.42,0.61,2022-07-06,139,N20,VIIRS,n,2.0NRT,291.41,0.86,N
40.54632,16.96188,303.7,0.42,0.61,2022-07-06,139,N20,VIIRS,n,2.0NRT,291.32,0.35,N
40.95131,15.66769,300.85,0.35,0.57,2022-07-06,139,N20,VIIRS,n,2.0NRT,290.14,0.53,N
40.97005,15.78518,305.81,0.36,0.57,2022-07-06,139,N20,VIIRS,n,2.0NRT,290.98,0.79,N
41.13448,15.5291,303.94,0.34,0.56,2022-07-06,139,N20,VIIRS,n,2.0NRT,291.33,0.57,N
41.75779,15.00441,312.73,0.62,0.54,2022-07-06,139,N20,VIIRS,n,2.0NRT,289.66,2.43,N
41.76038,15.0054,305.84,0.62,0.54,2022-07-06,139,N20,VIIRS,n,2.0NRT,289.49,1.46,N
40.53988,16.7835,340.4,0.39,0.44,2022-07-06,1121,N20,VIIRS,n,2.0NRT,306.5,6.21,D
40.54081,16.7879,342.93,0.38,0.44,2022-07-06,1121,N20,VIIRS,n,2.0NRT,305.94,6.21,D
40.55495,16.89414,335.99,0.57,0.43,2022-07-06,1121,N20,VIIRS,n,2.0NRT,304.99,3.07,D
40.56266,16.89133,338.24,0.57,0.43,2022-07-06,1121,N20,VIIRS,l,2.0NRT,308.71,6.89,D
40.56655,16.89004,337.02,0.57,0.43,2022-07-06,1121,N20,VIIRS,l,2.0NRT,308.76,7.13,D
