latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
41.46732,15.31789,314.18,0.5,0.41,2022-07-02,113,N20,VIIRS,n,2.0NRT,293.56,1.42,N
41.55064,15.34847,303.26,0.5,0.41,2022-07-02,113,N20,VIIRS,n,2.0NRT,291.88,0.61,N
41.71755,15.02879,325.92,0.48,0.4,2022-07-02,113,N20,VIIRS,n,2.0NRT,295.22,3.26,N
41.21476,15.86801,330.08,0.42,0.61,2022-07-02,1058,N20,VIIRS,l,2.0NRT,302.8,1.53,D
41.31924,15.70682,345.62,0.43,0.62,2022-07-02,1058,N20,VIIRS,n,2.0NRT,303.63,5.69,D
41.71949,15.40772,336.85,0.43,0.62,2022-07-02,1058,N20,VIIRS,n,2.0NRT,302.62,3.09,D
41.72277,15.40602,350.85,0.43,0.62,2022-07-02,1058,N20,VIIRS,n,2.0NRT,302.55,4.82,D
41.72416,15.41082,335.68,0.43,0.62,2022-07-02,1058,N20,VIIRS,n,2.0NRT,301.13,4.82,D
41.72481,15.40498,331.29,0.43,0.62,2022-07-02,1058,N20,VIIRS,l,2.0NRT,301.74,3.09,D
41.72617,15.40981,333.23,0.43,0.62,2022-07-02,1058,N20,VIIRS,n,2.0NRT,301.14,3.09,D
41.7371,15.34966,355.16,0.43,0.62,2022-07-02,1058,N20,VIIRS,n,2.0NRT,302.87,6.12,D
41.85208,15.05276,344.47,0.44,0.62,2022-07-02,1058,N20,VIIRS,n,2.0NRT,302.93,3.95,D
41.85348,15.04957,347.2,0.44,0.62,2022-07-02,1058,N20,VIIRS,n,2.0NRT,302.83,4.18,D
41.41049,15.85205,334.89,0.36,0.58,2022-07-02,1238,N20,VIIRS,n,2.0NRT,303.06,2.33,D
41.63689,15.35722,367,0.34,0.56,2022-07-02,1238,N20,VIIRS,h,2.0NRT,308.99,8.24,D
41.63765,15.35721,367,0.34,0.56,2022-07-02,1238,N20,VIIRS,h,2.0NRT,308.04,10.45,D
41.64209,15.35673,338.31,0.34,0.56,2022-07-02,1238,N20,VIIRS,n,2.0NRT,307.74,2.08,D
41.64265,15.25193,332.9,0.34,0.56,2022-07-02,1238,N20,VIIRS,l,2.0NRT,306.84,1.25,D
41.64729,15.35625,332.61,0.34,0.56,2022-07-02,1238,N20,VIIRS,l,2.0NRT,305.85,2.08,D
41.84588,15.30969,334.61,0.34,0.56,2022-07-02,1238,N20,VIIRS,n,2.0NRT,303.43,1.31,D
